Report Name: test
Start Time : 
  1/11/2018  10:48:53

Avg: 14.0997   lbf
Peak: 37.5000   lbf
1,0.0000, lbf,0.100, s,
2,0.0000, lbf,0.200, s,
3,0.0000, lbf,0.300, s,
4,0.0000, lbf,0.400, s,
5,0.0000, lbf,0.500, s,
6,0.0000, lbf,0.600, s,
7,0.0000, lbf,0.700, s,
8,0.0000, lbf,0.800, s,
9,0.0000, lbf,0.900, s,
10,0.0000, lbf,1.000, s,
11,0.0000, lbf,1.100, s,
12,0.0000, lbf,1.200, s,
13,0.0000, lbf,1.300, s,
14,0.1000, lbf,1.400, s,
15,0.0000, lbf,1.500, s,
16,0.0000, lbf,1.600, s,
17,0.0000, lbf,1.700, s,
18,0.0000, lbf,1.800, s,
19,0.0000, lbf,1.900, s,
20,0.0000, lbf,2.000, s,
21,0.0000, lbf,2.100, s,
22,0.9000, lbf,2.200, s,
23,1.2000, lbf,2.300, s,
24,1.2000, lbf,2.400, s,
25,1.4000, lbf,2.500, s,
26,1.5000, lbf,2.600, s,
27,1.5000, lbf,2.700, s,
28,1.7000, lbf,2.800, s,
29,1.8000, lbf,2.900, s,
30,1.9000, lbf,3.000, s,
31,2.0000, lbf,3.100, s,
32,2.1000, lbf,3.200, s,
33,2.2000, lbf,3.300, s,
34,2.4000, lbf,3.400, s,
35,2.5000, lbf,3.500, s,
36,2.7000, lbf,3.600, s,
37,3.0000, lbf,3.700, s,
38,3.3000, lbf,3.800, s,
39,3.6000, lbf,3.900, s,
40,3.9000, lbf,4.000, s,
41,4.1000, lbf,4.100, s,
42,4.7000, lbf,4.200, s,
43,5.2000, lbf,4.300, s,
44,5.6000, lbf,4.400, s,
45,6.1000, lbf,4.500, s,
46,6.6000, lbf,4.600, s,
47,7.0000, lbf,4.700, s,
48,7.5000, lbf,4.800, s,
49,8.1000, lbf,4.900, s,
50,8.6000, lbf,5.000, s,
51,9.3000, lbf,5.100, s,
52,9.8000, lbf,5.200, s,
53,9.9000, lbf,5.300, s,
54,10.4000, lbf,5.400, s,
55,10.8000, lbf,5.500, s,
56,11.3000, lbf,5.600, s,
57,12.2000, lbf,5.700, s,
58,13.0000, lbf,5.800, s,
59,13.8000, lbf,5.900, s,
60,14.5000, lbf,6.000, s,
61,14.8000, lbf,6.100, s,
62,15.2000, lbf,6.200, s,
63,15.8000, lbf,6.300, s,
64,16.4000, lbf,6.400, s,
65,17.2000, lbf,6.500, s,
66,17.9000, lbf,6.600, s,
67,18.1000, lbf,6.700, s,
68,18.3000, lbf,6.800, s,
69,19.2000, lbf,6.900, s,
70,20.6000, lbf,7.000, s,
71,21.3000, lbf,7.100, s,
72,21.5000, lbf,7.200, s,
73,21.6000, lbf,7.300, s,
74,22.7000, lbf,7.400, s,
75,24.1000, lbf,7.500, s,
76,24.6000, lbf,7.600, s,
77,24.8000, lbf,7.700, s,
78,25.4000, lbf,7.800, s,
79,25.6000, lbf,7.900, s,
80,26.0000, lbf,8.000, s,
81,26.6000, lbf,8.100, s,
82,26.7000, lbf,8.200, s,
83,26.7000, lbf,8.300, s,
84,26.9000, lbf,8.400, s,
85,28.2000, lbf,8.500, s,
86,29.3000, lbf,8.600, s,
87,29.6000, lbf,8.700, s,
88,30.1000, lbf,8.800, s,
89,30.4000, lbf,8.900, s,
90,30.5000, lbf,9.000, s,
91,30.9000, lbf,9.100, s,
92,31.0000, lbf,9.200, s,
93,31.3000, lbf,9.300, s,
94,31.6000, lbf,9.400, s,
95,31.5000, lbf,9.500, s,
96,31.5000, lbf,9.600, s,
97,31.4000, lbf,9.700, s,
98,31.4000, lbf,9.800, s,
99,31.4000, lbf,9.900, s,
100,31.3000, lbf,10.000, s,
101,31.3000, lbf,10.100, s,
102,31.8000, lbf,10.200, s,
103,32.7000, lbf,10.300, s,
104,32.5000, lbf,10.400, s,
105,32.7000, lbf,10.500, s,
106,32.9000, lbf,10.600, s,
107,33.2000, lbf,10.700, s,
108,33.5000, lbf,10.800, s,
109,33.6000, lbf,10.900, s,
110,33.8000, lbf,11.000, s,
111,34.1000, lbf,11.100, s,
112,34.4000, lbf,11.200, s,
113,34.6000, lbf,11.300, s,
114,34.8000, lbf,11.400, s,
115,35.0000, lbf,11.500, s,
116,35.2000, lbf,11.600, s,
117,35.5000, lbf,11.700, s,
118,35.7000, lbf,11.800, s,
119,35.9000, lbf,11.900, s,
120,36.2000, lbf,12.000, s,
121,36.4000, lbf,12.100, s,
122,36.5000, lbf,12.200, s,
123,36.7000, lbf,12.300, s,
124,36.9000, lbf,12.400, s,
125,37.1000, lbf,12.500, s,
126,37.2000, lbf,12.600, s,
127,37.1000, lbf,12.700, s,
128,37.4000, lbf,12.800, s,
129,37.5000, lbf,12.900, s,
130,37.4000, lbf,13.000, s,
131,37.3000, lbf,13.100, s,
132,37.3000, lbf,13.200, s,
133,37.2000, lbf,13.300, s,
134,36.9000, lbf,13.400, s,
135,36.2000, lbf,13.500, s,
136,35.8000, lbf,13.600, s,
137,35.2000, lbf,13.700, s,
138,34.7000, lbf,13.800, s,
139,34.2000, lbf,13.900, s,
140,33.6000, lbf,14.000, s,
141,33.1000, lbf,14.100, s,
142,32.6000, lbf,14.200, s,
143,32.1000, lbf,14.300, s,
144,31.6000, lbf,14.400, s,
145,31.2000, lbf,14.500, s,
146,30.8000, lbf,14.600, s,
147,30.4000, lbf,14.700, s,
148,30.1000, lbf,14.800, s,
149,29.8000, lbf,14.900, s,
150,29.6000, lbf,15.000, s,
151,29.4000, lbf,15.100, s,
